Fragment,# Voices,Voice 0,Voice 1,Voice 2,Voice 3,Voice 4 (F),Voice 5,Voice 6 (F),Voice 7,Voice 8,Voice 9,Voice 10,Voice 11,Voice 12 (F),Voice 13,Summary,Eval
2377,2,,,,,,,,,,,,,next time see if you can land on the runway!,next time see if you can land on the runway!,next time see if you can land on the runway!,
2378,2,,,,,,,,,,,,,Watch it! you could get someone hurt doing that!,Watch it! you could get someone hurt doing that!,Watch it! you could get someone hurt doing that!,
2379,2,,,,,,,,,,,,,you are cleared for immediate landing,you are cleared for immediate landing,you are cleared for immediate landing,
2380,2,,,,,,,,,,,,,you are cleared all the way in,you are cleared all the way in,you are cleared all the way in,
2381,2,,,,,,,,,,,,,"copy emergency, you are cleared for landing","copy emergency, you are cleared for landing","copy emergency, you are cleared for landing",
2382,2,,,,,,,,,,,,,"copy emergency, you are cleared for immediate landing","copy emergency, you are cleared for immediate landing","copy emergency, you are cleared for immediate landing",
2383,2,,,,,,,,,,,,,rolling fire equipment,rolling fire equipment,rolling fire equipment,
2384,2,,,,,,,,,,,,,the emergency equipment is rolling,the emergency equipment is rolling,the emergency equipment is rolling,
2385,2,,,,,,,,,,,,,Good Luck!,Good Luck!,Good Luck!,
2386,2,,,,,,,,,,,,,Good Luck sir!,Good Luck sir!,Good Luck sir!,
2387,2,,,,,,,,,,,,,alerting the SOF,alerting the SOF,alerting the SOF,
2388,2,,,,,,,,,,,,,emergency equipment will be standing by,emergency equipment will be standing by,emergency equipment will be standing by,
2389,2,,,,,,,,,,,,,"your takeoff has been cancelled by the mission director, taxi to the ramp","your takeoff has been cancelled by the mission director, taxi to the ramp","takeoff has been cancelled by the mission director, taxi to the ramp",
2390,2,,,,,,,,,,,,,"your mission has been scrubbed, taxi back to the ramp","your mission has been scrubbed, taxi back to the ramp","your mission has been scrubbed, taxi back to the ramp",
2391,2,,,,,,,,,,,,,"your mission has been aborted, return to the ramp","your mission has been aborted, return to the ramp","your mission has been aborted, return to the ramp",
2392,2,,,,,,,,,,,,,you are number 1 for departure,you are number 1 for departure,you are number 1 for departure,
2393,2,,,,,,,,,,,,,you are number 2 for departure,you are number 2 for departure,you are number 2 for departure,
2394,2,,,,,,,,,,,,,you are number 3 for departure,you are number 3 for departure,you are number 3 for departure,
2395,2,,,,,,,,,,,,,you are number 4 for departure,you are number 4 for departure,you are number 4 for departure,
2396,2,,,,,,,,,,,,,you are number 5 for departure,you are number 5 for departure,you are number 5 for departure,
2397,2,,,,,,,,,,,,,you are number 6 for departure,you are number 6 for departure,you are number 6 for departure,
2398,2,,,,,,,,,,,,,you are number 7 for departure,you are number 7 for departure,you are number 7 for departure,
2399,2,,,,,,,,,,,,,you are number 8 for departure,you are number 8 for departure,you are number 8 for departure,
2400,2,,,,,,,,,,,,,you are number 9 for departure,you are number 9 for departure,you are number 9 for departure,
2401,2,,,,,,,,,,,,,you are number 10 for departure,you are number 10 for departure,you are number 10 for departure,
2402,12,BRAA,BRAA,BRAA,BRAA,BRAA,BRAA,BRAA,BRAA,BRAA,BRAA,BRAA,BRAA,,,BRAA,
2403,12,push,push,push,push,push,push,push,push,push,push,push,push,,,push,
2404,0,,,,,,,,,,,,,,,,
2405,0,,,,,,,,,,,,,,,,
2406,0,,,,,,,,,,,,,,,,
2407,0,,,,,,,,,,,,,,,,
2408,0,,,,,,,,,,,,,,,,
2409,0,,,,,,,,,,,,,,,,
2410,2,,,,,,,,,,,,,watch it! you'll hurt someone doing that,watch it! you'll hurt someone doing that,Watch it! you'll hurt someone doing that,
2411,2,,,,,,,,,,,,,"you're out of line mister, contact the SOF when you land","you're out of line mister, contact the SOF when you land","you're out of line mister, contact the SOF when you land",
2412,2,,,,,,,,,,,,,next time wait your turn,next time wait your turn,next time wait your turn,
2413,2,,,,,,,,,,,,,next time get clearance before landing,next time get a clearance before landing,next time get a clearance before landing,
2414,2,,,,,,,,,,,,,expedite departure,expedite departure,expedite departure,
2415,2,,,,,,,,,,,,,"expedite departure, incoming traffic","expedite departure, incoming traffic","expedite departure, incoming traffic",
2416,0,,,,,,,,,,,,,,,,
2417,2,,,,,,,,,,,,,Kosong,Kosong,,
2418,2,,,,,,,,,,,,,Manpo,Manpo,,
2419,2,,,,,,,,,,,,,Samjiyon-up,Samjiyon-up,,
2420,2,,,,,,,,,,,,,Changjin,Changjin,,
2421,2,,,,,,,,,,,,,Uiji,Uiji,,
2422,2,,,,,,,,,,,,,Pukchang-up,Pukchang-up,,
2423,2,,,,,,,,,,,,,Samcheonpo,Samcheonpo,,
2424,2,,,,,,,,,,,,,Pohang,Pohang,,
2425,2,,,,,,,,,,,,,Kimhae,Kimhae airport,,
2426,2,,,,,,,,,,,,,Drang,Drang,,
2427,2,,,,,,,,,,,,,Kuum-ni,Kuum-ni,,
2428,2,,,,,,,,,,,,,Osan,Osan,,
2429,2,,,,,,,,,,,,,Suweon,Suweon,,
2430,2,,,,,,,,,,,,,Hwangju,Hwangju,,
2431,2,,,,,,,,,,,,,Kimpo,Kimpo,,
2432,2,,,,,,,,,,,,,Seoul,Seoul,,
2433,2,,,,,,,,,,,,,Sunan,Sunan,,
2434,2,,,,,,,,,,,,,Panghyon,Panghyon,,
2435,2,,,,,,,,,,,,,Cheongju,Cheongju,,
2436,2,,,,,,,,,,,,,Kunsan,Kunsan,,
2437,2,,,,,,,,,,,,,Kwangju,Kwangju,,
2438,2,,,,,,,,,,,,,Taegu,Taegu,,
2439,2,,,,,,,,,,,,,Taechon,Taechon,,
2440,2,,,,,,,,,,,,,Kaechon,Kaechon,,
2441,2,,,,,,,,,,,,,Sunchon,Sunchon,,
2442,2,,,,,,,,,,,,,Mirim,Mirim,,
2443,2,,,,,,,,,,,,,Toksan,Toksan,,
2444,2,,,,,,,,,,,,,Sondok,Sondok,,
2445,2,,,,,,,,,,,,,Wonsan,Wonsan,,
2446,2,,,,,,,,,,,,,Iwon,Iwon,,
2447,2,,,,,,,,,,,,,Hyon,Hyon,,
2448,2,,,,,,,,,,,,,Koksan,Koksan,,
2449,2,,,,,,,,,,,,,Onchon,Onchon,,
2450,2,,,,,,,,,,,,,Kwail,Kwail,,
2451,2,,,,,,,,,,,,,T'aet'an,T'aet'an,,
2452,2,,,,,,,,,,,,,Ongjin,Ongjin,,
2453,2,,,,,,,,,,,,,Haeju,Haeju,,
2454,2,,,,,,,,,,,,,Mandumi airstrip,Mandumi airstrip,,
2455,2,,,,,,,,,,,,,Gangneung,Gangneung,,
2456,2,,,,,,,,,,,,,Chungju,Chungju,,
2457,2,,,,,,,,,,,,,Yecheon,Yecheon,,
2458,2,,,,,,,,,,,,,Jeoncheon,Jeoncheon,,
2459,2,,,,,,,,,,,,,Pyongtaeg,Pyongtaeg,,
2460,2,,,,,,,,,,,,,Haemi,Haemi,,
2461,2,,,,,,,,,,,,,Hwangsuwon,Hwangsuwon,,
2462,2,,,,,,,,,,,,,Punsan,Punsan,,
2463,2,,,,,,,,,,,,,Kosong approach,Kosong approach,,
2464,2,,,,,,,,,,,,,Manpo approach,Manpo approach,,
2465,2,,,,,,,,,,,,,Samjiyon-up approach,Samjiyon-up approach,,
2466,2,,,,,,,,,,,,,Changjin approach,Changjin approach,,
2467,2,,,,,,,,,,,,,Uiji approach,Uiji approach,,
2468,2,,,,,,,,,,,,,Pukchang-up approach,Pukchang-up approach,,
2469,2,,,,,,,,,,,,,Samcheonpo approach,Samcheonpo approach,,
2470,2,,,,,,,,,,,,,Pohang approach,Pohang approach,,
2471,2,,,,,,,,,,,,,Kimhae approach,Kimhae approach,,
2472,2,,,,,,,,,,,,,Drang approach,Drang approach,,
2473,2,,,,,,,,,,,,,Kuum-ni approach,Kuum-ni approach,,
2474,2,,,,,,,,,,,,,Osan approach,Osan approach,,
2475,2,,,,,,,,,,,,,Suweon approach,Suweon approach,,
2476,2,,,,,,,,,,,,,Hwangju approach,Hwangju approach,,
2477,2,,,,,,,,,,,,,Kimpo approach,Kimpo approach,,
2478,2,,,,,,,,,,,,,Seoul  approach,Seoul  approach,,
2479,2,,,,,,,,,,,,,Sunan approach,Sunan approach,,
2480,2,,,,,,,,,,,,,Panghyon approach,Panghyon approach,,
2481,2,,,,,,,,,,,,,Cheongju approach,Cheongju approach,,
2482,2,,,,,,,,,,,,,Kunsan approach,Kunsan approach,,
2483,2,,,,,,,,,,,,,Kwangju approach,Kwangju approach,,
2484,2,,,,,,,,,,,,,Taegu approach,Taegu approach,,
2485,2,,,,,,,,,,,,,Taechon approach,Taechon approach,,
2486,2,,,,,,,,,,,,,Kaechon approach,Kaechon approach,,
2487,2,,,,,,,,,,,,,Sunchon approach,Sunchon approach,,
2488,2,,,,,,,,,,,,,Mirim approach,Mirim approach,,
2489,2,,,,,,,,,,,,,Toksan approach,Toksan approach,,
2490,2,,,,,,,,,,,,,Sondok approach,Sondok approach,,
2491,2,,,,,,,,,,,,,Wonsan approach,Wonsan approach,,
2492,2,,,,,,,,,,,,,Iwon approach,Iwon approach,,
2493,2,,,,,,,,,,,,,Hyon approach,Hyon approach,,
2494,2,,,,,,,,,,,,,Koksan approach,Koksan approach,,
2495,2,,,,,,,,,,,,,Onchon approach,Onchon approach,,
2496,2,,,,,,,,,,,,,Kwail approach,Kwail approach,,
2497,2,,,,,,,,,,,,,T'aet'an approach,T'aet'an approach,,
2498,2,,,,,,,,,,,,,Ongjin approach,Ongjin approach,,
2499,2,,,,,,,,,,,,,Haeju approach,Haeju approach,,
2500,2,,,,,,,,,,,,,Mandumi approach,Mandumi approach,,
2501,2,,,,,,,,,,,,,Gangneung approach,Gangneung approach,,
2502,2,,,,,,,,,,,,,Chungju approach,Chungju approach,,
2503,2,,,,,,,,,,,,,Yecheon approach,Yecheon approach,,
2504,2,,,,,,,,,,,,,Jeoncheon approach,Jeoncheon approach,,
2505,2,,,,,,,,,,,,,Pyongtaeg approach,Pyongtaeg approach,,
2506,2,,,,,,,,,,,,,Haemi approach,Haemi approach,,
2507,2,,,,,,,,,,,,,Hwangsuwon approach,Hwangsuwon approach,,
2508,2,,,,,,,,,,,,,Punsan approach,Punsan approach,,
2509,2,,,,,,,,,,,,,Kosong tower,Kosong tower,,
2510,2,,,,,,,,,,,,,Manpo tower,Manpo tower,,
2511,2,,,,,,,,,,,,,Samjiyon-up approach,Samjiyon-up tower,,
2512,2,,,,,,,,,,,,,Changjin tower,Changjin tower,,
2513,2,,,,,,,,,,,,,Uiji tower,Uiji tower,,
2514,2,,,,,,,,,,,,,Pukchang-up tower,Pukchang-up tower,,
2515,2,,,,,,,,,,,,,Samcheonpo tower,Samcheonpo tower,,
2516,2,,,,,,,,,,,,,Pohang tower,Pohang tower,,
2517,2,,,,,,,,,,,,,Kimhae tower,Kimhae tower,,
2518,2,,,,,,,,,,,,,Drang tower,Drang tower,,
2519,2,,,,,,,,,,,,,Kuum-ni tower,Kuum-ni tower,,
2520,2,,,,,,,,,,,,,Osan tower,Osan tower,,
2521,2,,,,,,,,,,,,,Suweon tower,Suweon tower,,
2522,2,,,,,,,,,,,,,Hwangju tower,Hwangju tower,,
2523,2,,,,,,,,,,,,,Kimpo tower,Kimpo tower,,
2524,2,,,,,,,,,,,,,Seoul tower,Seoul tower,,
2525,2,,,,,,,,,,,,,Sunan tower,Sunan tower,,
2526,2,,,,,,,,,,,,,Panghyon tower,Panghyon tower,,
2527,2,,,,,,,,,,,,,Cheongju tower,Cheongju tower,,
2528,2,,,,,,,,,,,,,Kunsan tower,Kunsan tower,,
2529,2,,,,,,,,,,,,,Kwangju tower,Kwangju tower,,
2530,2,,,,,,,,,,,,,Taegu tower,Taegu tower,,
2531,2,,,,,,,,,,,,,Taechon tower,Taechon tower,,
2532,2,,,,,,,,,,,,,Kaechon tower,Kaechon tower,,
2533,2,,,,,,,,,,,,,Sunchon tower,Sunchon tower,,
2534,2,,,,,,,,,,,,,Mirim tower,Mirim tower,,
2535,2,,,,,,,,,,,,,Toksan tower,Toksan tower,,
2536,2,,,,,,,,,,,,,Sondok tower,Sondok tower,,
2537,2,,,,,,,,,,,,,Wonsan tower,Wonsan tower,,
2538,2,,,,,,,,,,,,,Iwon tower,Iwon tower,,
2539,2,,,,,,,,,,,,,Hyon tower,Hyon tower,,
2540,2,,,,,,,,,,,,,Koksan tower,Koksan tower,,
2541,2,,,,,,,,,,,,,Onchon tower,Onchon tower,,
2542,2,,,,,,,,,,,,,Kwail tower,Kwail tower,,
2543,2,,,,,,,,,,,,,T'aet'an tower,T'aet'an tower,,
2544,2,,,,,,,,,,,,,Ongjin tower,Ongjin tower,,
2545,2,,,,,,,,,,,,,Haeju tower,Haeju tower,,
2546,2,,,,,,,,,,,,,Mandumi tower,Mandumi tower,,
2547,2,,,,,,,,,,,,,Gangneung tower,Gangneung tower,,
2548,2,,,,,,,,,,,,,Chungju tower,Chungju tower,,
2549,2,,,,,,,,,,,,,Yecheon tower,Yecheon tower,,
2550,2,,,,,,,,,,,,,Jeoncheon tower,Jeoncheon tower,,
2551,2,,,,,,,,,,,,,Pyongtaeg tower,Pyongtaeg tower,,
2552,2,,,,,,,,,,,,,Haemi tower,Haemi tower,,
2553,2,,,,,,,,,,,,,Hwangsuwon tower,Hwangsuwon tower,,
2554,2,,,,,,,,,,,,,Punsan tower,Punsan tower,Punsan Tower,
2555,2,,,,,,,,,,,,,less than one mile,less than one mile,less than one mile,
2556,12,go spread,go spread,go spread,go spread,go spread,go spread,go spread,go spread,go spread,go spread,go spread,go spread,,,go spread,
2557,12,go ladder,go ladder,go ladder,go ladder,go ladder,go ladder,go ladder,go ladder,go ladder,go ladder,go ladder,go ladder,,,go ladder,
2558,12,go stack,go stack,go stack,go stack,go stack,go stack,go stack,go stack,go stack,go stack,go stack,go stack,,,go stack,
2559,12,going spread,going spread,going spread,going spread,going spread,going spread,going spread,going spread,going spread,going spread,going spread,going spread,,,going spread,
2560,12,going ladder,going ladder,going ladder,going ladder,going ladder,going ladder,going ladder,going ladder,going ladder,going ladder,going ladder,going ladder,,,going ladder,
2561,12,going stack,going stack,going stack,going stack,going stack,going stack,going stack,going stack,going stack,going stack,going stack,going stack,,,going stack,
2562,12,i lost him,i lost him,i lost him,i lost him,i lost him,i lost him,i lost him,i lost him,i lost him,i lost him,i lost him,i lost him,,,i lost him,
2563,12,lost visual,lost visual,lost visual,lost visual,lost visual,lost visual,lost visual,lost visual,lost visual,lost visual,lost visual,lost visual,,,lost visual,
2564,12,lost tally,lost tally,lost tally,"damn, lost tally",lost tally,lost tally,lost tally,lost tally,lost tally,lost tally,lost tally,lost tally,,,lost tally,
2565,12,lost padlock,lost padlock,lost padlock,"damn, lost padlock",lost padlock,lost padlock,lost padlock,lost padlock,lost padlock,lost padlock,lost padlock,lost padlock,,,lost padlock,
2566,12,declare,declare,declare,declare,declare,declare,declare,declare,declare,declare,declare,declare,,,declare,
2567,12,i can't shake him,i can't shake him,i can't shake him,i can't shake him,i can't shake him,i can't shake him,i can't shake him,i can't shake him,i can't shake him,i can't shake him,i can't shake him,i can't shake him,,,i can't shake him,
2568,12,get him off me,get him off me,get him off me,get him off me,get him off me,get him off me,get him off me,get him off me,get him off me,get him off me,get him off me,get him off me,,,get him off me,
2569,12,he's on my tail,he's on my tail,he's on my tail,he's on my tail,he's on my tail,he's on my tail,he's on my tail,he's on my tail,he's on my tail,he's on my tail,he's on my tail,he's on my tail,,,he's on my tail,
2570,12,take lead,take lead,take lead,take lead,take lead,take lead,take lead,take lead,take lead,take lead,take lead,take lead,,,take lead,23
2571,12,taking lead,taking lead,taking lead,taking lead,taking lead,taking lead,taking lead,taking lead,taking lead,taking lead,taking lead,taking lead,,,taking lead,
2572,12,execute single side offset,execute single side offset,execute single side offset,execute single side offset,execute single side offset,execute single side offset,execute single side offset,execute single side offset,execute single side offset,execute single side offset,execute single side offset,execute single side offset,,,execute single side offset,23
2573,12,executing single side offset,executing single side offset,executing single side offset,executing single side offset,executing single side offset,executing single side offset,executing single side offset,executing single side offset,executing single side offset,executing single side offset,executing single side offset,executing single side offset,,,executing single side offset,
2574,12,attack my target,attack my target,attack my target,attack my target,attack my target,attack my target,attack my target,attack my target,attack my target,attack my target,attack my target,attack my target,,,attack my target,19
2575,12,drag for spacing,drag for spacing,drag for spacing,drag for spacing,drag for spacing,drag for spacing,drag for spacing,drag for spacing,drag for spacing,drag for spacing,drag for spacing,drag for spacing,,,drag for spacing,23
2576,12,dragging,dragging,dragging,dragging,dragging,dragging,dragging,dragging,dragging,dragging,dragging,dragging,,,dragging,
2577,12,smoke on,smoke on,smoke on,smoke on,smoke on,smoke on,smoke on,smoke on,smoke on,smoke on,smoke on,smoke on,,,smoke on,23
2578,12,smoke off,smoke off,smoke off,smoke off,smoke off,smoke off,smoke off,smoke off,smoke off,smoke off,smoke off,smoke off,,,smoke off,23
2579,12,Raygun,Raygun,Raygun,Raygun,Raygun,Raygun,Raygun,Raygun,Raygun,Raygun,Raygun,Raygun,,,Raygun,
2580,12,request clearance for takeoff,request clearance for takeoff,request clearance for takeoff,request clearance for takeoff,request clearance for takeoff,request clearance for takeoff,request clearance for takeoff,request clearance for takeoff,request clearance for takeoff,request clearance for takeoff,request clearance for takeoff,request clearance for takeoff,,,request clearance for takeoff,
2581,12,hey you cut me off,hey you cut me off,hey you cut me off,hey you cut me off,hey you cut me off,hey you cut me off,hey you cut me off,hey you cut me off,hey you cut me off,hey you cut me off,hey you cut me off,hey you cut me off,,,hey you cut me off,
2582,12,i'm taking lead,i'm taking lead,i'm taking lead,i'm taking lead,i'm taking lead,i'm taking lead,i'm taking lead,i'm taking lead,i'm taking lead,i'm taking lead,i'm taking lead,i'm taking lead,,,i'm taking lead,23
2583,12,request vector to tanker,request vector to tanker,request vector to tanker,request vector to tanker,request vector to tanker,request vector to tanker,request vector to tanker,request vector to tanker,request vector to tanker,request vector to tanker,request vector to tanker,request vector to tanker,,,request vector to tanker,
2584,12,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,,,friendly,19
2585,12,target group,target group,target group,target group,target group,target group,target group,target group,target group,target group,target group,target group,,,target group,
2586,12,ready for departure,ready for departure,ready for departure,ready for departure,ready for departure,ready for departure,ready for departure,ready for departure,ready for departure,ready for departure,ready for departure,ready for departure,,,ready for departure,
2587,12,contact confirmed hostile,contact confirmed hostile,contact confirmed hostile,contact confirmed hostile,contact confirmed hostile,contact confirmed hostile,contact confirmed hostile,contact confirmed hostile,contact confirmed hostile,contact confirmed hostile,contact confirmed hostile,contact confirmed hostile,,,contact confirmed hostile,
2588,12,contact ID'ed as bandit,contact ID'ed as bandit,contact ID'ed as bandit,contact ID'ed as bandit,contact ID'ed as bandit,contact ID'ed as bandit,contact ID'ed as bandit,contact ID'ed as bandit,contact ID'ed as bandit,contact ID'ed as bandit,contact ID'ed as bandit,contact ID'ed as bandit,,,Contact ID'ed as bandit,
2589,12,contact is Outlaw,contact is Outlaw,contact is Outlaw,contact is Outlaw,contact is Outlaw,contact is Outlaw,contact is Outlaw,contact is Outlaw,contact is Outlaw,contact is Outlaw,contact is Outlaw,contact is Outlaw,,,contact is Outlaw,
2590,12,contact is a bogey,contact is a bogey,contact is a bogey,contact is a bogey,contact is a bogey,contact is a bogey,contact is a bogey,contact is a bogey,contact is a bogey,contact is a bogey,contact is a bogey,contact is a bogey,,,contact is a bogey,
2591,12,contact is friendly,contact is friendly,contact is friendly,contact is friendly,contact is friendly,contact is friendly,contact is friendly,contact is friendly,contact is friendly,contact is friendly,contact is friendly,contact is friendly,,,contact is friendly,
2592,14,7-0,7-0,7-0,7-0,7-0,0-7-0,7-0,7-0,7-0,7-0,7-0,7-0,7-0,7-0,7-0,
2593,14,7-1,7-1,7-1,7-1,7-1,0-7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,
2594,14,7-2,7-2,7-2,7-2,7-2,0-7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,
2595,14,7-3,7-3,7-3,7-3,7-3,0-7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,
2596,14,7-4,7-4,7-4,7-4,7-4,0-7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,
2597,14,7-5,7-5,7-5,7-5,7-5,0-7-5,7-5,7-5,7-5,7-5,7-5,7-5,7-5,7-5,7-5,
2598,14,7-6,7-6,7-6,7-6,7-6,0-7-6,7-6,7-6,7-6,7-6,7-6,7-6,7-6,7-6,7-6,
2599,14,7-7,7-7,7-7,7-7,7-7,0-7-7,7-7,7-7,7-7,7-7,7-7,7-7,7-7,7-7,7-7,
